Pixels, Value
0, 24128
84,3, 9984
84,4, 9984
84,5, 9984
84,6, 9984
84,7, 9984
84,8, 9984
84,9, 9984
85, 9024
85,1, 9024
85,2, 9024
85,3, 9024
85,4, 9024
85,5, 9024
85,6, 9024
85,7, 9024
85,8, 9024
85,9, 9024
86, 9600
86,1, 9600
86,2, 9600
86,3, 9600
86,4, 9600
86,5, 9600
86,6, 9600
86,7, 9600
86,8, 9600
86,9, 9600
87, 12096
87,1, 12096
87,2, 12096
87,3, 12096
87,4, 12096
87,5, 12096
87,6, 12096
87,7, 12096
87,8, 12096
87,9, 12096
88, 17216
88,1, 17216
88,2, 17216
88,3, 17216
88,4, 17216
88,5, 17216
88,6, 17216
88,7, 17216
88,8, 17216
88,9, 17216
89, 21504
89,1, 21504
89,2, 21504
89,3, 21504
89,4, 21504
89,5, 21504
89,6, 21504
89,7, 21504
89,8, 21504
89,9, 21504
90, 23488
90,1, 23488
90,2, 23488
90,3, 23488
90,4, 23488
90,5, 23488
90,6, 23488
90,7, 23488
90,8, 23488
90,9, 23488
91, 22400
91,1, 22400
91,2, 22400
91,3, 22400
91,4, 22400
91,5, 22400
91,6, 22400
91,7, 22400
91,8, 22400
91,9, 22400
92, 20928
92,1, 20928
92,2, 20928
92,3, 20928
92,4, 20928
92,5, 20928
92,6, 20928
92,7, 20928
92,8, 20928
92,9, 20928
93, 18432
93,1, 18432
93,2, 18432
93,3, 18432
93,4, 18432
93,5, 18432
93,6, 18432
93,7, 18432
93,8, 18432
93,9, 18432
94, 15616
94,1, 15616
94,2, 15616
94,3, 15616
94,4, 15616
94,5, 15616
94,6, 15616
94,7, 15616
94,8, 15616
94,9, 15616
95, 11840
95,1, 11840
95,2, 11840
95,3, 11840
95,4, 11840
95,5, 11840
95,6, 11840
95,7, 11840
95,8, 11840
95,9, 11840
96, 9920
96,1, 9920
96,2, 9920
96,3, 9920
96,4, 9920
96,5, 9920
96,6, 9920
96,7, 9920
96,8, 9920
96,9, 9920
97, 9600
97,1, 9600
97,2, 9600
97,3, 9600
97,4, 9600
97,5, 9600
97,6, 9600
97,7, 9600
97,8, 9600
97,9, 9600
98, 15040
98,1, 15040
98,2, 15040
98,3, 15040
98,4, 15040
98,5, 15040
98,6, 15040
98,7, 15040
98,8, 15040
98,9, 15040
99, 21120
99,1, 21120
99,2, 21120
99,3, 21120
99,4, 21120
99,5, 21120
99,6, 21120
99,7, 21120
99,8, 21120
99,9, 21120
100, 24512
100,1, 24512
100,2, 24512
100,3, 24512
100,4, 24512
100,5, 24512
100,6, 24512
100,7, 24512
100,8, 24512
100,9, 24512
101, 25344
101,1, 25344
101,2, 25344
